budget,id,original_language,original_title,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count
60000000,123553,en,The Mortal Instruments: City of Bones,45.514031,21/08/2013,90565421,130,Released,The Mortal Instruments: City of Bones,6.2,1602
60000000,11260,en,Meet Dave,18.676291,8/07/2008,50650079,90,Released,Meet Dave,5,371
30000000,9009,en,Dark Water,14.376463,27/06/2005,25473093,105,Released,Dark Water,5.3,274
80000000,11374,en,Edtv,14.298297,26/03/1999,0,122,Released,Edtv,5.7,166
60000000,2309,en,Inkheart,27.018886,11/12/2008,57490374,106,Released,Inkheart,6,592
60000000,8285,en,The Spirit,14.84856,25/12/2008,39031337,103,Released,The Spirit,4.7,320
60000000,210860,en,Mortdecai,52.417529,21/01/2015,30418560,106,Released,Mortdecai,5.4,1055
60000000,2312,en,In the Name of the King: A Dungeon Siege Tale,15.406173,29/11/2007,0,127,Released,In the Name of the King: A Dungeon Siege Tale,4.1,224
35000000,9839,en,Beyond Borders,6.523472,23/10/2003,0,127,Released,Beyond Borders,6.7,110
68490000,381902,zh,西游记之孙悟空三打白骨精,4.72629,22/01/2016,193677158,120,Released,The Monkey King 2,6,24
80000000,13922,en,The Great Raid,8.923215,12/08/2005,10166502,132,Released,The Great Raid,6.8,91
58000000,293660,en,Deadpool,514.569956,9/02/2016,783112979,108,Released,Deadpool,7.4,10995
60000000,9713,en,Holy Man,9.265672,8/10/1998,0,114,Released,Holy Man,4.9,111
58800000,190859,en,American Sniper,87.53437,11/12/2014,542307423,133,Released,American Sniper,7.4,4469
58000000,257445,en,Goosebumps,45.351617,5/08/2015,158162788,103,Released,Goosebumps,6.2,995
58000000,9007,en,Just Like Heaven,13.43573,16/09/2005,102854431,95,Released,Just Like Heaven,6.5,579
83000000,889,en,The Flintstones in Viva Rock Vegas,6.248309,28/04/2000,59468275,90,Released,The Flintstones in Viva Rock Vegas,4.4,134
63000000,1370,en,Rambo III,31.294717,24/05/1988,189015611,102,Released,Rambo III,5.7,690
58000000,4942,en,Leatherheads,7.739276,24/03/2008,41299492,114,Released,Leatherheads,5.7,130
60000000,347969,en,The Ridiculous 6,19.694695,11/12/2015,0,119,Released,The Ridiculous 6,4.9,388
58000000,24438,en,Did You Hear About the Morgans?,14.403696,17/12/2009,85280250,103,Released,Did You Hear About the Morgans?,5.1,276
58000000,116741,en,The Internship,1.551497,7/06/2013,44000000,119,Released,The Internship,6.1,1658
60000000,35791,en,Resident Evil: Afterlife,2.143764,9/09/2010,300228084,97,Released,Resident Evil: Afterlife,5.8,1363
58000000,72431,en,Red Tails,12.29603,19/01/2012,50365377,125,Released,Red Tails,5.9,178
57000000,1813,en,The Devil's Advocate,33.8473,17/10/1997,152944660,144,Released,The Devil's Advocate,7.2,1374
70000000,87428,en,That's My Boy,21.723897,14/06/2012,58058367,116,Released,That's My Boy,5.5,453
57000000,8840,en,DragonHeart,31.791979,31/05/1996,115267375,103,Released,DragonHeart,6.4,535
60000000,10589,en,After the Sunset,14.113066,12/11/2004,61347797,97,Released,After the Sunset,6,226
57000000,71676,en,Ghost Rider: Spirit of Vengeance,48.622278,10/12/2011,149217355,95,Released,Ghost Rider: Spirit of Vengeance,4.7,1135
57000000,1722,en,Captain Corelli's Mandolin,9.061866,17/08/2001,62112895,131,Released,Captain Corelli's Mandolin,5.5,145
56000000,10022,en,The Pacifier,35.4763,4/03/2005,113006880,95,Released,The Pacifier,5.8,842
56000000,11358,en,Walking Tall,23.438398,2/04/2004,57223890,86,Released,Walking Tall,6,381
55000000,13,en,Forrest Gump,138.133331,6/07/1994,677945399,142,Released,Forrest Gump,8.2,7927
60000000,6477,en,Alvin and the Chipmunks,47.336034,13/12/2007,361366633,92,Released,Alvin and the Chipmunks,5.5,1177
55000000,1597,en,Meet the Parents,29.97224,6/10/2000,330444045,108,Released,Meet the Parents,6.6,1698
55000000,10530,en,Pocahontas,47.845589,14/06/1995,346079773,81,Released,Pocahontas,6.7,1457
55000000,1924,en,Superman,48.507081,13/12/1978,300218018,143,Released,Superman,6.9,1022
54000000,9327,en,The Nutty Professor,20.28119,26/06/1996,128769345,95,Released,The Nutty Professor,5.4,702
70000000,8488,en,Hitch,34.576913,10/02/2005,368100420,118,Released,Hitch,6.4,1665
55000000,10603,en,George of the Jungle,22.573237,15/07/1997,0,92,Released,George of the Jungle,5.4,496
55000000,8273,en,American Wedding,36.194802,1/08/2003,231449203,103,Released,American Wedding,6,1129
55000000,109424,en,Captain Phillips,52.786917,10/10/2013,95000000,134,Released,Captain Phillips,7.6,2454
55000000,35056,en,Date Night,38.06168,8/04/2010,152263880,97,Released,Date Night,5.9,1122
50000000,8839,en,Casper,19.830132,26/05/1995,287928194,100,Released,Casper,6,1019
55000000,156022,en,The Equalizer,79.922059,24/09/2014,192330738,132,Released,The Equalizer,7.1,2954
55000000,7303,en,Maid in Manhattan,19.738215,13/12/2002,154906693,105,Released,Maid in Manhattan,5.6,485
53000000,8963,en,Crimson Tide,20.334629,12/05/1995,157387195,116,Released,Crimson Tide,7,498
55000000,1402,en,The Pursuit of Happyness,80.581367,14/12/2006,307077295,117,Released,The Pursuit of Happyness,7.7,2525
55000000,9315,en,Flightplan,32.05145,22/09/2005,223387299,98,Released,Flightplan,6.1,772
55000000,8984,en,Disclosure,15.064058,9/12/1994,214015089,123,Released,Disclosure,5.9,210
55000000,795,en,City of Angels,21.272734,10/04/1998,198685114,114,Released,City of Angels,6.4,529
30000000,24,en,Kill Bill: Vol. 1,79.754966,10/10/2003,180949000,111,Released,Kill Bill: Vol. 1,7.7,4949
55000000,11353,en,Bowfinger,13.191829,12/08/1999,0,97,Released,Bowfinger,6,254
30000000,393,en,Kill Bill: Vol. 2,50.622607,16/04/2004,152159461,136,Released,Kill Bill: Vol. 2,7.6,3948
55000000,9618,en,Tango & Cash,22.787667,22/12/1989,63408614,104,Released,Tango & Cash,6.1,458
55000000,9374,en,Death Becomes Her,29.498304,30/07/1992,149022650,104,Released,Death Becomes Her,6.3,636
55000000,8584,en,Shanghai Noon,25.400935,26/05/2000,56932305,110,Released,Shanghai Noon,6.2,735
55000000,2320,en,Executive Decision,17.231675,15/03/1996,121969216,133,Released,Executive Decision,5.8,256
